ID_LINHA,CONTRATO,COD_CANONICO,PRAZO_ORIGINAL,PRAZO_ANCORA_ANTIGA,PRAZO_LIMITE_ANTIGO,PRAZO_ANCORA_NOVA,PRAZO_TIPO_DIA,PRAZO_OFFSET,MOTIVO
L015,BNB,INS.COMPROVANTE_PG,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
L026,CEF,INS.PARCELAMENTO_TABELA,ENTRE DIA 30 A 31,Início da competência,31,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 31 não existe em 4 meses do ano
L027,CEF,INS.PARCELAMENTO_COMPROV,ENTRE DIA 30 A 31,Início da competência,31,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 31 não existe em 4 meses do ano
L051,CEF,INS.COMPROVANTE_PG,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
L071,DOCAS,INS.COMPROVANTE_PG,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
L108,SESCOOP,INS.COMPROVANTE_PG,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
L109,SESCOOP,INS.COMPROVANTE_PG_IRRF,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
L174,TJ CE,INS.COMPROVANTE_PG,ENTRE DIA 20 A 30,Início da competência,30,FIM_COMPETENCIA,CORRIDO,0,E-08: o dia 30 não existe em fevereiro
